"date";"target"
2020-02-26;1
2020-02-27;0
2020-02-28;0
2020-02-29;1
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;2
2020-03-05;0
2020-03-06;9
2020-03-07;0
2020-03-08;7
2020-03-09;5
2020-03-10;6
2020-03-11;7
2020-03-12;14
2020-03-13;99
2020-03-14;0
2020-03-15;11
2020-03-16;38
2020-03-17;121
2020-03-18;51
2020-03-19;249
2020-03-20;172
2020-03-21;228
2020-03-22;525
2020-03-23;378
2020-03-24;323
2020-03-25;307
2020-03-26;431
2020-03-27;432
2020-03-28;487
2020-03-29;352
2020-03-30;323
2020-03-31;1138
2020-04-01;1119
2020-04-02;1208
2020-04-03;1012
2020-04-04;1304
2020-04-05;770
2020-04-06;1031
2020-04-07;1873
2020-04-08;2136
2020-04-09;1922
2020-04-10;1546
2020-04-11;1089
2020-04-12;1465
2020-04-13;1238
2020-04-14;1832
2020-04-15;3058
2020-04-16;2105
2020-04-17;3257
2020-04-18;2976
2020-04-19;1996
2020-04-20;2089
2020-04-21;2336
2020-04-22;2678
2020-04-23;4279
2020-04-24;4007
2020-04-25;5281
2020-04-26;3776
2020-04-27;4346
2020-04-28;5789
2020-04-29;6450
2020-04-30;7502
2020-05-01;5015
2020-05-02;4898
2020-05-03;4726
2020-05-04;6794
2020-05-05;6835
2020-05-06;11156
2020-05-07;9162
2020-05-08;11121
2020-05-09;9167
2020-05-10;6638
2020-05-11;6895
2020-05-12;8620
2020-05-13;11923
2020-05-14;13028
2020-05-15;17126
2020-05-16;13220
2020-05-17;7569
2020-05-18;14288
2020-05-19;16517
2020-05-20;19694
2020-05-21;18508
2020-05-22;20803
2020-05-23;16508
2020-05-24;15813
2020-05-25;11687
2020-05-26;16324
2020-05-27;20599
2020-05-28;26417
2020-05-29;26928
2020-05-30;33274
2020-05-31;16409
2020-06-01;11598
2020-06-02;28936
2020-06-03;28633
2020-06-04;30925
2020-06-05;30830
2020-06-06;27075
2020-06-07;18912
2020-06-08;15654
2020-06-09;32091
2020-06-10;32913
2020-06-11;30412
2020-06-12;25982
2020-06-13;21704
2020-06-14;17110
2020-06-15;20647
2020-06-16;34918
2020-06-17;32188
2020-06-18;22765
2020-06-19;54771
2020-06-20;34666
2020-06-21;15762
2020-06-22;23129
2020-06-23;39436
2020-06-24;42725
2020-06-25;39483
2020-06-26;46860
2020-06-27;38693
2020-06-28;30476
2020-06-29;24052
2020-06-30;33846
2020-07-01;46712
2020-07-02;48105
2020-07-03;42223
2020-07-04;37923
2020-07-05;26051
2020-07-06;20229
2020-07-07;45305
2020-07-08;44571
2020-07-09;42619
2020-07-10;45048
2020-07-11;39023
2020-07-12;24831
2020-07-13;20286
2020-07-14;41857
2020-07-15;39924
2020-07-16;45403
2020-07-17;34177
2020-07-18;28532
2020-07-19;23529
2020-07-20;20257
2020-07-21;41008
2020-07-22;67860
2020-07-23;59961
2020-07-24;55891
2020-07-25;51147
2020-07-26;24578
2020-07-27;23284
2020-07-28;40816
2020-07-29;69074
2020-07-30;57837
2020-07-31;52383
2020-08-01;45392
2020-08-02;25800
2020-08-03;16641
2020-08-04;51603
2020-08-05;57152
2020-08-06;53139
2020-08-07;50230
2020-08-08;49970
2020-08-09;23010
2020-08-10;22048
2020-08-11;52160
2020-08-12;55155
2020-08-13;60091
2020-08-14;50644
2020-08-15;41576
2020-08-16;23101
2020-08-17;19373
2020-08-18;47784
2020-08-19;49298
2020-08-20;45323
2020-08-21;30355
2020-08-22;50032
2020-08-23;23421
2020-08-24;17078
2020-08-25;47134
2020-08-26;47161
2020-08-27;44235
2020-08-28;43412
2020-08-29;41350
2020-08-30;16158
2020-08-31;45961
2020-09-01;42659
2020-09-02;46934
2020-09-03;43773
2020-09-04;50163
2020-09-05;31199
2020-09-06;14521
2020-09-07;10273
2020-09-08;14279
2020-09-09;35816
2020-09-10;40557
2020-09-11;43718
2020-09-12;33523
2020-09-13;14768
2020-09-14;15155
2020-09-15;36653
2020-09-16;36820
2020-09-17;36303
2020-09-18;39797
2020-09-19;33057
2020-09-20;16389
2020-09-21;13411
2020-09-22;33324
2020-09-23;0
2020-09-24;66338
2020-09-25;31911
2020-09-26;28378
2020-09-27;14318
2020-09-28;13155
2020-09-29;32058
2020-09-30;33413
2020-10-01;36157
2020-10-02;0
2020-10-03;59741
2020-10-04;8456
2020-10-05;11946
2020-10-06;41906
2020-10-07;31553
2020-10-08;27750
2020-10-09;27444
2020-10-10;26749
2020-10-11;12342
2020-10-12;8429
2020-10-13;10220
2020-10-14;27235
2020-10-15;28523
2020-10-16;30914
2020-10-17;24062
2020-10-18;0
2020-10-19;26365
2020-10-20;23227
2020-10-21;24818
2020-10-22;24858
2020-10-23;30026
2020-10-24;26979
2020-10-25;13493
2020-10-26;15726
2020-10-27;29787
2020-10-28;28629
2020-10-29;26106
2020-10-30;22282
2020-10-31;18947
2020-11-01;10100
2020-11-02;8501
2020-11-03;11843
2020-11-04;23976
2020-11-05;0
2020-11-06;41156
2020-11-07;22380
2020-11-08;10554
2020-11-09;10917
2020-11-10;23973
2020-11-11;48655
2020-11-12;33922
2020-11-13;29070
2020-11-14;38307
2020-11-15;14134
2020-11-16;13371
2020-11-17;35294
2020-11-18;34091
2020-11-19;35918
2020-11-20;38397
2020-11-21;32622
2020-11-22;18615
2020-11-23;16207
2020-11-24;31100
2020-11-25;47898
2020-11-26;37614
2020-11-27;34130
2020-11-28;51922
2020-11-29;24468
2020-11-30;21138
2020-12-01;50909
2020-12-02;49863
2020-12-03;50434
2020-12-04;46884
2020-12-05;43209
2020-12-06;26363
2020-12-07;20371
2020-12-08;51088
2020-12-09;53453
2020-12-10;53347
2020-12-11;54428
2020-12-12;43900
2020-12-13;21825
2020-12-14;25193
2020-12-15;42889
2020-12-16;70574
2020-12-17;69826
2020-12-18;52544
2020-12-19;50177
2020-12-20;25445
2020-12-21;25019
2020-12-22;55202
2020-12-23;46696
2020-12-24;58428
2020-12-25;24615
2020-12-26;17246
2020-12-27;18479
2020-12-28;20548
2020-12-29;58718
2020-12-30;55649
2020-12-31;56773
2021-01-01;24605
2021-01-02;15827
2021-01-03;17341
2021-01-04;20006
2021-01-05;56648
2021-01-06;63430
2021-01-07;87843
2021-01-08;52035
2021-01-09;62290
2021-01-10;29792
2021-01-11;25822
2021-01-12;64025
2021-01-13;60899
2021-01-14;67758
2021-01-15;69198
2021-01-16;61567
2021-01-17;33040
2021-01-18;23671
2021-01-19;62094
2021-01-20;64385
2021-01-21;59119
2021-01-22;56552
2021-01-23;62334
2021-01-24;28323
2021-01-25;26816
2021-01-26;61963
2021-01-27;63520
2021-01-28;61811
2021-01-29;59826
2021-01-30;58462
2021-01-31;27756
2021-02-01;24591
2021-02-02;54096
2021-02-03;56002
2021-02-04;56873
2021-02-05;50872
2021-02-06;0
2021-02-07;77475
2021-02-08;0
2021-02-09;74925
2021-02-10;59602
2021-02-11;54742
2021-02-12;51546
2021-02-13;44299
2021-02-14;24759
2021-02-15;32197
2021-02-16;55271
2021-02-17;56766
2021-02-18;51879
2021-02-19;53582
2021-02-20;54940
2021-02-21;29026
2021-02-22;26986
2021-02-23;62715
2021-02-24;66588
2021-02-25;65998
2021-02-26;65169
2021-02-27;61602
2021-02-28;34027
2021-03-01;35742
2021-03-02;59925
2021-03-03;71704
2021-03-04;75102
2021-03-05;75495
2021-03-06;69609
2021-03-07;80508
2021-03-08;32321
2021-03-09;70764
2021-03-10;79876
2021-03-11;75412
2021-03-12;85663
2021-03-13;76178
2021-03-14;43812
2021-03-15;36239
2021-03-16;83926
2021-03-17;90303
2021-03-18;86982
2021-03-19;90570
2021-03-20;79069
2021-03-21;47774
2021-03-22;49293
2021-03-23;82493
2021-03-24;89992
2021-03-25;100158
2021-03-26;84245
2021-03-27;85948
2021-03-28;44326
2021-03-29;38927
2021-03-30;84494
2021-03-31;90638
2021-04-01;91097
2021-04-02;70238
2021-04-03;43515
2021-04-04;31359
2021-04-05;28645
2021-04-06;86979
2021-04-07;92625
2021-04-08;86652
2021-04-09;93317
2021-04-10;71832
2021-04-11;37017
2021-04-12;35785
2021-04-13;82186
2021-04-14;73513
2021-04-15;73174
2021-04-16;85774
2021-04-17;67636
2021-04-18;42980
2021-04-19;30624
2021-04-20;69381
2021-04-21;79719
2021-04-22;45178
2021-04-23;69105
2021-04-24;71137
2021-04-25;32572
2021-04-26;28636
2021-04-27;72140
2021-04-28;79726
2021-04-29;69389
2021-04-30;68333
2021-05-01;66964
2021-05-02;28935
2021-05-03;24619
2021-05-04;77359
2021-05-05;73295
2021-05-06;73380
2021-05-07;78886
2021-05-08;63430
2021-05-09;38911
2021-05-10;25200
2021-05-11;72715
2021-05-12;76692
2021-05-13;74592
2021-05-14;85536
2021-05-15;67009
2021-05-16;40709
2021-05-17;30148
2021-05-18;75445
2021-05-19;79219
2021-05-20;82039
2021-05-21;76855
2021-05-22;76490
2021-05-23;35819
2021-05-24;37498
2021-05-25;73453
2021-05-26;80486
2021-05-27;67467
2021-05-28;49768
2021-05-29;79670
2021-05-30;43520
2021-05-31;30434
2021-06-01;78926
2021-06-02;95601
2021-06-03;83391
2021-06-04;37936
2021-06-05;66017
2021-06-06;39637
2021-06-07;37156
2021-06-08;52911
2021-06-09;85748
2021-06-10;88092
2021-06-11;85149
2021-06-12;78700
2021-06-13;37948
2021-06-14;39846
2021-06-15;80609
2021-06-16;95367
2021-06-17;74042
2021-06-18;98832
2021-06-19;82288
2021-06-20;44178
2021-06-21;38903
2021-06-22;87822
2021-06-23;115228
2021-06-24;73602
2021-06-25;79277
2021-06-26;64134
2021-06-27;33704
2021-06-28;27804
2021-06-29;64903
2021-06-30;43836
2021-07-01;65163
2021-07-02;65165
2021-07-03;54556
2021-07-04;27783
2021-07-05;22703
2021-07-06;62504
2021-07-07;54022
2021-07-08;53725
2021-07-09;57737
2021-07-10;48504
2021-07-11;20937
2021-07-12;17031
2021-07-13;45022
2021-07-14;57736
2021-07-15;52789
2021-07-16;45591
2021-07-17;34339
2021-07-18;34126
2021-07-19;15271
2021-07-20;27592
2021-07-21;54517
2021-07-22;49757
2021-07-23;108732
2021-07-24;38091
2021-07-25;18129
2021-07-26;18999
2021-07-27;41411
2021-07-28;48013
2021-07-29;42283
2021-07-30;40904
2021-07-31;37582
2021-08-01;20503
2021-08-02;15143
2021-08-03;32316
2021-08-04;40716
2021-08-05;40054
2021-08-06;42159
2021-08-07;43033
2021-08-08;13893
2021-08-09;12085
2021-08-10;34885
2021-08-11;32443
2021-08-12;39982
2021-08-13;33933
2021-08-14;31142
2021-08-15;13957
2021-08-16;14471
2021-08-17;37613
2021-08-18;41714
2021-08-19;36315
2021-08-20;33887
2021-08-21;28388
2021-08-22;14404
2021-08-23;13103
2021-08-24;30872
2021-08-25;30671
2021-08-26;31024
2021-08-27;27345
2021-08-28;24699
2021-08-29;13210
2021-08-30;10466
2021-08-31;24589
2021-09-01;27345
2021-09-02;26280
2021-09-03;25565
2021-09-04;21804
2021-09-05;12915
2021-09-06;9154
2021-09-07;14304
2021-09-08;13771
2021-09-09;30891
2021-09-10;15951
2021-09-11;14314
2021-09-12;10615
2021-09-13;6645
2021-09-14;13406
2021-09-15;14780
2021-09-16;34407
2021-09-17;11202
2021-09-18;150106
2021-09-19;9458
2021-09-20;7884
2021-09-22;36473
2021-09-23;24611
2021-09-24;19438
2021-09-25;15688
2021-09-26;8668
2021-09-27;14423
2021-09-28;15395
2021-09-29;17756
2021-09-30;27527
2021-10-01;18578
2021-10-02;13466
2021-10-03;9004
2021-10-04;10425
2021-10-05;20528
2021-10-06;17893
2021-10-07;15591
2021-10-08;18172
2021-10-09;16451
2021-10-10;8639
2021-10-11;6918
2021-10-12;7359
2021-10-13;7852
2021-10-14;14288
2021-10-15;15239
2021-10-16;11250
2021-10-17;5738
2021-10-18;7446
2021-10-19;12969
2021-10-20;15609
2021-10-21;16853
2021-10-22;14502
2021-10-23;11716
2021-10-24;6204
2021-10-25;5797
